loaded tokenizer from checkpoints/002-rope/tokenizer.json
step 223 train_loss 4.9587
step 224 train_loss 4.9749
step 225 train_loss 4.9016
step 226 train_loss 4.9246
step 227 train_loss 4.8949
step 228 train_loss 4.9950
step 229 train_loss 4.9126
step 230 train_loss 4.9229
step 231 train_loss 4.8758
step 232 train_loss 4.9179
step 233 train_loss 4.9199
step 234 train_loss 4.9237
step 235 train_loss 4.9165
step 236 train_loss 4.9100
step 237 train_loss 4.8716
step 238 train_loss 4.8827
step 239 train_loss 4.9167
step 240 train_loss 4.8788
step 241 train_loss 4.8726
step 242 train_loss 4.8681
step 243 train_loss 4.8587
step 244 train_loss 4.8760
step 245 train_loss 4.7943
step 246 train_loss 4.8637
step 247 train_loss 4.8800
step 248 train_loss 4.8659
step 249 train_loss 4.8831
step 250 train_loss 4.8550 val_loss 5.0783
step 251 train_loss 4.8619
step 252 train_loss 4.8847
step 253 train_loss 4.8318
step 254 train_loss 4.8512
step 255 train_loss 4.7871
step 256 train_loss 4.7923
step 257 train_loss 4.7700
step 258 train_loss 4.8173
step 259 train_loss 4.7918
step 260 train_loss 4.7586
step 261 train_loss 4.7938
step 262 train_loss 4.7654
step 263 train_loss 4.8066
step 264 train_loss 4.7686
step 265 train_loss 4.7871
step 266 train_loss 4.7775
step 267 train_loss 4.7720
step 268 train_loss 4.6981
step 269 train_loss 4.7508
step 270 train_loss 4.7172
step 271 train_loss 4.7598
step 272 train_loss 4.7797
step 273 train_loss 4.7286
step 274 train_loss 4.7360
step 275 train_loss 4.7459
step 276 train_loss 4.7429
step 277 train_loss 4.7214
step 278 train_loss 4.7329
step 279 train_loss 4.7112
step 280 train_loss 4.7159
step 281 train_loss 4.6999
step 282 train_loss 4.6788
step 283 train_loss 4.7018
step 284 train_loss 4.7193
step 285 train_loss 4.6726
step 286 train_loss 4.6490
step 287 train_loss 4.7065
step 288 train_loss 4.7252
step 289 train_loss 4.6998
step 290 train_loss 4.6943
step 291 train_loss 4.7013
step 292 train_loss 4.6592
step 293 train_loss 4.7003
step 294 train_loss 4.7284
step 295 train_loss 4.7052
step 296 train_loss 4.6377
step 297 train_loss 4.6897
step 298 train_loss 4.6117
step 299 train_loss 4.6551
step 300 train_loss 4.6384 val_loss 4.9124
step 301 train_loss 4.5878
step 302 train_loss 4.6625
step 303 train_loss 4.6535
step 304 train_loss 4.6583
step 305 train_loss 4.6220
step 306 train_loss 4.6528
step 307 train_loss 4.6898
step 308 train_loss 4.6240
step 309 train_loss 4.6674
step 310 train_loss 4.6871
step 311 train_loss 4.6352
step 312 train_loss 4.6703
step 313 train_loss 4.6160
step 314 train_loss 4.6163
