loaded tokenizer from checkpoints/002-rope/tokenizer.json
step 223 train_loss 4.9588
step 224 train_loss 4.9750
step 225 train_loss 4.9021
step 226 train_loss 4.9254
step 227 train_loss 4.8940
step 228 train_loss 4.9938
step 229 train_loss 4.9135
step 230 train_loss 4.9235
step 231 train_loss 4.8750
step 232 train_loss 4.9181
step 233 train_loss 4.9190
step 234 train_loss 4.9232
step 235 train_loss 4.9148
step 236 train_loss 4.9095
step 237 train_loss 4.8708
step 238 train_loss 4.8822
step 239 train_loss 4.9162
step 240 train_loss 4.8794
step 241 train_loss 4.8729
step 242 train_loss 4.8684
step 243 train_loss 4.8582
step 244 train_loss 4.8757
step 245 train_loss 4.7957
step 246 train_loss 4.8624
step 247 train_loss 4.8802
step 248 train_loss 4.8655
step 249 train_loss 4.8806
step 250 train_loss 4.8552 val_loss 5.0776
step 251 train_loss 4.8629
step 252 train_loss 4.8832
step 253 train_loss 4.8303
step 254 train_loss 4.8497
step 255 train_loss 4.7878
step 256 train_loss 4.7914
step 257 train_loss 4.7697
step 258 train_loss 4.8169
step 259 train_loss 4.7876
step 260 train_loss 4.7587
step 261 train_loss 4.7951
step 262 train_loss 4.7670
step 263 train_loss 4.8051
step 264 train_loss 4.7686
step 265 train_loss 4.7877
step 266 train_loss 4.7785
step 267 train_loss 4.7721
step 268 train_loss 4.7002
step 269 train_loss 4.7536
step 270 train_loss 4.7180
step 271 train_loss 4.7619
step 272 train_loss 4.7775
step 273 train_loss 4.7263
step 274 train_loss 4.7369
step 275 train_loss 4.7461
step 276 train_loss 4.7431
step 277 train_loss 4.7225
step 278 train_loss 4.7300
step 279 train_loss 4.7061
step 280 train_loss 4.7113
step 281 train_loss 4.6997
step 282 train_loss 4.6812
step 283 train_loss 4.6998
step 284 train_loss 4.7188
step 285 train_loss 4.6722
step 286 train_loss 4.6474
step 287 train_loss 4.7072
step 288 train_loss 4.7253
step 289 train_loss 4.6994
step 290 train_loss 4.6956
step 291 train_loss 4.7012
step 292 train_loss 4.6586
step 293 train_loss 4.7046
step 294 train_loss 4.7271
step 295 train_loss 4.7078
step 296 train_loss 4.6365
step 297 train_loss 4.6902
step 298 train_loss 4.6139
step 299 train_loss 4.6549
step 300 train_loss 4.6394 val_loss 4.9148
step 301 train_loss 4.5910
step 302 train_loss 4.6602
step 303 train_loss 4.6536
step 304 train_loss 4.6595
step 305 train_loss 4.6227
step 306 train_loss 4.6528
step 307 train_loss 4.6879
step 308 train_loss 4.6212
step 309 train_loss 4.6703
step 310 train_loss 4.6861
step 311 train_loss 4.6355
step 312 train_loss 4.6673
step 313 train_loss 4.6128
step 314 train_loss 4.6159
step 315 train_loss 4.6302
step 316 train_loss 4.6207
step 317 train_loss 4.6442
step 318 train_loss 4.5600
step 319 train_loss 4.6064
step 320 train_loss 4.5497
step 321 train_loss 4.5968
step 322 train_loss 4.5915
step 323 train_loss 4.5823
